symbol,company,weight,sector,shares_held
MCK,McKesson Corporation,0.0011027185393590621,Health Care,2136966
PAYX,Paychex Inc.,0.0010919438971590443,Information Technology,3566594
WEC,WEC Energy Group Inc,0.00108618607256331,Utilities,3515218
ALXN,Alexion Pharmaceuticals Inc.,0.001085685392163681,Health Care,2490687
TWTR,Twitter Inc.,0.0010840631876688827,Communication Services,8119860
SBAC,SBA Communications Corp. Class A,0.0010667897138816795,Real Estate,1264249
DFS,Discover Financial Services,0.0010576673170004378,Financials,3657806
DLTR,Dollar Tree Inc.,0.0010561252213695802,Consumer Discretionary,2652552
TROW,T. Rowe Price Group,0.0010481543894074853,Financials,2672258
LYB,LyondellBasell Industries NV,0.001033184045458576,Materials,3390940
VTR,Ventas Inc.,0.0010310912013881265,Real Estate,4138464
LUV,Southwest Airlines Co.,0.0010306506026364528,Industrials,5541160
GPN,Global Payments Inc.,0.0010297193370931428,Information Technology,1748583
GLW,Corning Inc,0.001023971526105401,Information Technology,8767818
FLT,FleetCor Technologies Inc.,0.0010231704374659945,Information Technology,971979
MNST,Monster Beverage Corporation,0.00101892466767714,Consumer Staples,4382493
IQV,IQVIA Holdings Inc,0.0010145987890243446,Health Care,1775804
WLTW,Willis Towers Watson Public Limited Company,0.001013347088025272,Financials,1438770
ES,Eversource Energy,0.0010075091545655968,Utilities,3597274
DLR,Digital Realty Trust Inc.,0.00100604716779868,Real Estate,2316740
CERN,Cerner Corporation,9.907864292179858e-4,Health Care,3626310
ZBH,Zimmer Biomet Holdings Inc.,9.893344560590615e-4,Health Care,2278822
VRSK,Verisk Analytics Inc,9.850286046222513e-4,Industrials,1815846
PCAR,PACCAR Inc,9.7932084806648e-4,Industrials,3856289
IDXX,IDEXX Laboratories Inc.,9.774483033718672e-4,Health Care,954336
CMI,Cummins Inc.,9.769776637962159e-4,Industrials,1612541
PXD,Pioneer Natural Resources Company,9.708893901367264e-4,Energy,1867996
BLL,Ball Corporation,9.707692268408155e-4,Materials,3802731
TSN,Tyson Foods Inc. Class A,9.648712117331849e-4,Consumer Staples,3302482
MTB,M&T Bank Corporation,9.621074559272323e-4,Financials,1543127
DTE,DTE Energy Company,9.589131149775989e-4,Utilities,2030534
TDG,TransDigm Group Incorporated,9.578216317064074e-4,Industrials,542340
INFO,IHS Markit Ltd.,9.506518883837192e-4,Industrials,4051324
FTV,Fortive Corp.,9.446537371961628e-4,Industrials,3303457
ADM,Archer-Daniels-Midland Company,9.358217349467058e-4,Consumer Staples,6250251
VRSN,VeriSign Inc.,9.286720188400028e-4,Information Technology,1184098
REGN,Regeneron Pharmaceuticals Inc.,9.146129132184182e-4,Health Care,873528
EIX,Edison International,9.113584906208291e-4,Utilities,3631248
A,Agilent Technologies Inc.,9.110781095970369e-4,Health Care,3539557
SYF,Synchrony Financial,9.084245034790028e-4,Financials,7104044
O,Realty Income Corporation,8.941150576576037e-4,Real Estate,3526733
PPL,PPL Corporation,8.836107828733859e-4,Utilities,8085053
CNC,Centene Corporation,8.793650130845313e-4,Health Care,4605176
FE,FirstEnergy Corp.,8.782034345573918e-4,Utilities,5615145
TSS,Total System Services Inc.,8.76090563270957e-4,Information Technology,1848974
SWK,Stanley Black & Decker Inc.,8.743481954802479e-4,Industrials,1692291
PH,Parker-Hannifin Corporation,8.538403263114409e-4,Industrials,1456215
MCHP,Microchip Technology Incorporated,8.504356995939632e-4,Information Technology,2641542
AWK,American Water Works Company Inc.,8.500852233142229e-4,Utilities,2016920
MTD,Mettler-Toledo International Inc.,8.49604570130579e-4,Health Care,277255
CDNS,Cadence Design Systems Inc.,8.494743932266755e-4,Information Technology,3148367
STT,State Street Corporation,8.342737362939367e-4,Financials,4224592
HAL,Halliburton Company,8.301180889770153e-4,Energy,9700806
CXO,Concho Resources Inc.,8.247808359169693e-4,Energy,2238318
FITB,Fifth Third Bancorp,8.197840455286712e-4,Financials,8145555
BXP,Boston Properties Inc.,8.187326166894502e-4,Real Estate,1722323
HIG,Hartford Financial Services Group Inc.,8.175209701223479e-4,Financials,4007224
ALGN,Align Technology Inc.,8.170803713706742e-4,Health Care,805860
SNPS,Synopsys Inc.,8.165796909710451e-4,Information Technology,1668050
CTAS,Cintas Corporation,8.158587111955794e-4,Industrials,947492
AME,AMETEK Inc.,8.155683165637944e-4,Industrials,2537208
APTV,Aptiv PLC,8.145869829805215e-4,Consumer Discretionary,2921174
AMP,Ameriprise Financial Inc.,8.144568060766179e-4,Financials,1509098
MSCI,MSCI Inc. Class A,8.103211859756816e-4,Financials,939929
UAL,United Airlines Holdings Inc.,8.095401245522603e-4,Industrials,2521529
NTRS,Northern Trust Corporation,8.070767769860853e-4,Financials,2462679
ESS,Essex Property Trust Inc.,8.047436063238139e-4,Real Estate,733048
CLX,Clorox Company,7.962320395301195e-4,Consumer Staples,1429527
CTVA,Corteva Inc,7.942193043236106e-4,Materials,8375226
KLAC,KLA-Tencor Corporation,7.925770726128272e-4,Information Technology,1839915
ETR,Entergy Corporation,7.922165827250943e-4,Utilities,2113930
HPE,Hewlett Packard Enterprise Co.,7.857177511379088e-4,Information Technology,14999141
ULTA,Ulta Beauty Inc,7.783577492633615e-4,Consumer Discretionary,625210
MKC,McCormick & Company Incorporated,7.697660736057265e-4,Consumer Staples,1366513
WY,Weyerhaeuser Company,7.687446855904833e-4,Real Estate,8301378
KHC,Kraft Heinz Company,7.631871331546005e-4,Consumer Staples,6939950
RCL,Royal Caribbean Cruises Ltd.,7.581202475103543e-4,Consumer Discretionary,1913905
HSY,Hershey Company,7.577697712306139e-4,Consumer Staples,1540576
RSG,Republic Services Inc.,7.533437564978928e-4,Industrials,2402335
CBS,CBS Corporation Class B,7.508603817157326e-4,Communication Services,3942580
AEE,Ameren Corporation,7.502094971962148e-4,Utilities,2726794
ROK,Rockwell Automation Inc.,7.429896858335635e-4,Industrials,1325740
OMC,Omnicom Group Inc,7.40826746507166e-4,Communication Services,2468342
CHD,Church & Dwight Co. Inc.,7.3855365749285e-4,Consumer Staples,2740934
CCL,Carnival Corporation,7.321449483775978e-4,Consumer Discretionary,4452476
VMC,Vulcan Materials Company,7.262869877019375e-4,Materials,1479608
AMCR,Amcor PLC,7.228222793365044e-4,Materials,18182192
CMG,Chipotle Mexican Grill Inc.,7.204190134182847e-4,Consumer Discretionary,271314
KEY,KeyCorp,7.191372715952344e-4,Financials,11241296
RMD,ResMed Inc.,7.146411616065653e-4,Health Care,1597012
ANSS,ANSYS Inc.,7.125883719680861e-4,Information Technology,939931
KR,Kroger Co.,7.055187647253236e-4,Consumer Staples,9036611
LH,Laboratory Corporation of America Holdings,7.038865466225326e-4,Health Care,1121346
FAST,Fastenal Company,6.957254561085788e-4,Industrials,6386860
BBY,Best Buy Co. Inc.,6.87153807666929e-4,Consumer Discretionary,2596825
IP,International Paper Company,6.871037396269661e-4,Materials,4500653
MXIM,Maxim Integrated Products Inc.,6.835088543576293e-4,Information Technology,3105149
NUE,Nucor Corporation,6.76769696178622e-4,Materials,3486561
FANG,Diamondback Energy Inc.,6.764893151548297e-4,Energy,1724710
FRC,First Republic Bank,6.749372059159796e-4,Financials,1859914
KEYS,Keysight Technologies Inc,6.748771242680241e-4,Information Technology,2095548
CMS,CMS Energy Corporation,6.728643890615152e-4,Utilities,3178558
AJG,Arthur J. Gallagher & Co.,6.727241985496191e-4,Financials,2051808
CFG,Citizens Financial Group Inc.,6.695598984239632e-4,Financials,5247854
EFX,Equifax Inc.,6.605476512306399e-4,Industrials,1347046
COO,Cooper Companies Inc.,6.589554875598195e-4,Health Care,549796
ARE,Alexandria Real Estate Equities Inc.,6.550902348746831e-4,Real Estate,1257092
CBRE,CBRE Group Inc. Class A,6.534980712038625e-4,Real Estate,3483864
CINF,Cincinnati Financial Corporation,6.51285063837502e-4,Financials,1699481
SYMC,Symantec Corporation,6.450265588421385e-4,Information Technology,7066653
FCX,Freeport-McMoRan Inc.,6.36545032872422e-4,Materials,15982992
HES,Hess Corporation,6.362245974166593e-4,Energy,2837620
EXPE,Expedia Group Inc.,6.286342825582826e-4,Consumer Discretionary,1308109
RF,Regions Financial Corporation,6.258104451043747e-4,Financials,11452495
WDC,Western Digital Corporation,6.241581997855986e-4,Information Technology,3206019
TFX,Teleflex Incorporated,6.234872880500958e-4,Health Care,517213
WAT,Waters Corporation,6.19411749597115e-4,Health Care,796112
HCP,HCP Inc.,6.191113413573376e-4,Real Estate,5288204
CPRT,Copart Inc.,6.134436392335365e-4,Industrials,2226514
PFG,Principal Financial Group Inc.,6.099989580840884e-4,Financials,2920201
BR,Broadridge Financial Solutions Inc.,6.089375156368747e-4,Information Technology,1283900
L,Loews Corporation,6.081864950374311e-4,Financials,3065242
GPC,Genuine Parts Company,6.07305297534084e-4,Consumer Discretionary,1629086
IT,Gartner Inc.,6.056630658233007e-4,Information Technology,995900
EVRG,Evergy Inc.,6.038706299926284e-4,Utilities,2734440
DHI,D.R. Horton Inc.,5.998752004035885e-4,Consumer Discretionary,3764715
DRI,Darden Restaurants Inc.,5.997149826757072e-4,Consumer Discretionary,1366369
NTAP,NetApp Inc.,5.98092778180909e-4,Information Technology,2752125
DXC,DXC Technology Co.,5.950386277431716e-4,Information Technology,2989235
KMX,CarMax Inc.,5.930058653206776e-4,Consumer Discretionary,1861855
HBAN,Huntington Bancshares Incorporated,5.855457273662043e-4,Financials,11774672
XYL,Xylem Inc.,5.835229785517028e-4,Industrials,2004116
MGM,MGM Resorts International,5.827018626963112e-4,Consumer Discretionary,5641050
CNP,CenterPoint Energy Inc.,5.824014544565337e-4,Utilities,5585703
WCG,WellCare Health Plans Inc.,5.797979163784625e-4,Health Care,563519
INCY,Incyte Corporation,5.771943783003913e-4,Health Care,1980424
ABC,AmerisourceBergen Corporation,5.724579417199003e-4,Health Care,1762398
CAH,Cardinal Health Inc.,5.723077376000115e-4,Health Care,3305176
IFF,International Flavors & Fragrances Inc.,5.709959549529834e-4,Materials,1115375
DOV,Dover Corporation,5.701347846656214e-4,Industrials,1627615
ANET,Arista Networks Inc.,5.685826754267712e-4,Information Technology,582820
EXR,Extra Space Storage Inc.,5.637661299823395e-4,Real Estate,1420673
SWKS,Skyworks Solutions Inc.,5.593000608176482e-4,Information Technology,1968732
